REGIONAL;NOMBRE_OFICINA;DAVIDA;DESEMPLEO_VEHICULO;DESEMPLEO_FIJO;DESEMPLEO_LIBRANZA;DESEMPLEO_HIPOTECARIO;ACCIDENTES_PERSONALES;DESEMPLEO_TDC;HOGAR;INCENDIO_TERREMOTO_REINV;PROTECCION_TARJETAS;RENTA_DIARIA;SOAT;TRANQUILIDAD_MUJER;VEHICULO;VIDA_DEUDORES_REINV;crit_DAVIDA;crit_DESEMPLEO_FIJO;crit_DESEMPLEO_HIPOTECARIO;crit_DESEMPLEO_LIBRANZA;crit_DESEMPLEO_VEHICULO;crit_ACCIDENTES_PERSONALES;crit_DESEMPLEO_TDC;crit_HOGAR;crit_INCENDIO_TERREMOTO_REINV;crit_PROTECCION_TARJETAS;crit_RENTA_DIARIA;crit_SOAT;crit_TRANQUILIDAD_MUJER;crit_VEHICULO;crit_VIDA_DEUDORES_REINV;PENETRACION_DAVIDA;PENETRACION_DESEMPLEO_VEHICULO;PENETRACION_DESEMPLEO_FIJO;PENETRACION_DESEMPLEO_LIBRANZA;PENETRACION_DESEMPLEO_HIPOTECARIO;PENETRACION_ACCIDENTES_PERSONALES;PENETRACION_DESEMPLEO_TDC;PENETRACION_HOGAR;PENETRACION_INCENDIO_TERREMOTO_REINV;PENETRACION_PROTECCION_TARJETAS;PENETRACION_RENTA_DIARIA;PENETRACION_SOAT;PENETRACION_TRANQUILIDAD_MUJER;PENETRACION_VEHICULO;PENETRACION_VIDA_DEUDORES_REINV
ANTIOQUIA;ABEJORRAL;14;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2440;32;10;61;6;0;0;10;10;21;0;0;21;6;159;0.57;0.0;0.0;13.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANTIOQUIA;AMAGA;51;1;6;30;1;0;0;0;5;1;0;0;0;0;5;3868;158;19;236;18;0;0;19;19;46;0;0;46;18;632;1.32;5.56;3.8;12.71;5.26;0.0;0.0;0.0;26.32;2.17;0.0;0.0;0.0;0.0;0.79
ANTIOQUIA;AMALFI;64;0;9;7;1;0;0;0;1;1;0;0;1;0;2;3443;113;5;92;8;0;0;5;5;55;0;0;55;8;286;1.86;0.0;7.96;7.61;20.0;0.0;0.0;0.0;20.0;1.82;0.0;0.0;1.82;0.0;0.7
ANTIOQUIA;ANDES;70;3;12;44;0;0;0;0;3;0;0;0;0;0;3;5591;182;16;254;38;0;0;16;16;63;0;0;63;38;767;1.25;7.89;6.59;17.32;0.0;0.0;0.0;0.0;18.75;0.0;0.0;0.0;0.0;0.0;0.39
ANTIOQUIA;APARTADO;98;0;10;115;3;0;0;0;6;2;0;0;1;0;7;4762;280;25;737;36;0;0;25;25;85;0;0;85;36;1490;2.06;0.0;3.57;15.6;12.0;0.0;0.0;0.0;24.0;2.35;0.0;0.0;1.18;0.0;0.47
ANTIOQUIA;AVENTURA;34;1;6;31;1;0;0;0;19;1;0;0;0;1;23;3425;23;75;65;11;0;0;75;75;84;0;0;84;11;201;0.99;9.09;26.09;47.69;1.33;0.0;0.0;0.0;25.33;1.19;0.0;0.0;0.0;9.09;11.44
ANTIOQUIA;AVES MARIA;64;1;1;95;1;0;0;0;11;0;0;0;0;1;11;6015;44;69;258;15;0;0;69;69;86;0;0;86;15;540;1.06;6.67;2.27;36.82;1.45;0.0;0.0;0.0;15.94;0.0;0.0;0.0;0.0;6.67;2.04
ANTIOQUIA;AYACUCHO;23;1;3;50;1;0;0;0;12;0;0;0;0;0;15;3047;27;32;184;16;0;0;32;32;78;0;0;80;16;366;0.75;6.25;11.11;27.17;3.12;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;4.1
ANTIOQUIA;BELEN;31;2;4;22;0;0;0;0;8;0;0;0;1;2;9;4832;119;29;419;35;0;0;29;29;78;0;0;78;35;887;0.64;5.71;3.36;5.25;0.0;0.0;0.0;0.0;27.59;0.0;0.0;0.0;1.28;5.71;1.01
ANTIOQUIA;BELLO;103;0;12;127;2;0;0;0;16;2;0;0;0;1;20;10014;264;36;629;52;0;0;36;36;139;0;0;139;52;1278;1.03;0.0;4.55;20.19;5.56;0.0;0.0;0.0;44.44;1.44;0.0;0.0;0.0;1.92;1.56
