,REGIONAL,DEPARTAMENTO,CIUDAD,NOMBRE_OFICINA
0,TODAS,TODAS,TODAS,TODAS
0,BOGOTA,TODAS,TODAS,TODAS
15,CUNDINAMARCA,TODAS,TODAS,TODAS
77,VALLE Y CAUCA,TODAS,TODAS,TODAS
82,EJE CAFETERO,TODAS,TODAS,TODAS
125,CARIBE,TODAS,TODAS,TODAS
153,ANTIOQUIA,TODAS,TODAS,TODAS
195,SANTANDERES Y ARAUCA,TODAS,TODAS,TODAS
254,CENTRO SUR,TODAS,TODAS,TODAS
6954,OTRA,TODAS,TODAS,TODAS
0,BOGOTA,BOGOTA,TODAS,TODAS
15,CUNDINAMARCA,CUNDINAMARCA,TODAS,TODAS
77,VALLE Y CAUCA,VALLE,TODAS,TODAS
81,VALLE Y CAUCA,CAUCA,TODAS,TODAS
82,EJE CAFETERO,VALLE,TODAS,TODAS
125,CARIBE,ATLANTICO,TODAS,TODAS
153,ANTIOQUIA,ANTIOQUIA,TODAS,TODAS
195,SANTANDERES Y ARAUCA,SANTANDER,TODAS,TODAS
222,CARIBE,BOLIVAR,TODAS,TODAS
242,SANTANDERES Y ARAUCA,NORTE DE SANTANDER,TODAS,TODAS
248,CARIBE,CESAR,TODAS,TODAS
254,CENTRO SUR,HUILA,TODAS,TODAS
265,CENTRO SUR,CAQUETA,TODAS,TODAS
266,EJE CAFETERO,CALDAS,TODAS,TODAS
276,CENTRO SUR,CALDAS,TODAS,TODAS
290,CENTRO SUR,META,TODAS,TODAS
291,CENTRO SUR,CASANARE,TODAS,TODAS
303,CENTRO SUR,NARINO,TODAS,TODAS
312,CARIBE,MAGDALENA,TODAS,TODAS
320,EJE CAFETERO,RISARALDA,TODAS,TODAS
342,EJE CAFETERO,QUINDIO,TODAS,TODAS
356,CARIBE,CORDOBA,TODAS,TODAS
361,CENTRO SUR,TOLIMA,TODAS,TODAS
362,CENTRO SUR,BOYACA,TODAS,TODAS
391,CARIBE,SUCRE,TODAS,TODAS
396,CARIBE,LA GUAJIRA,TODAS,TODAS
407,CENTRO SUR,SAN ANDRES ISLA,TODAS,TODAS
412,CENTRO SUR,CUNDINAMARCA,TODAS,TODAS
571,SANTANDERES Y ARAUCA,ARAUCA,TODAS,TODAS
6948,ANTIOQUIA,OTRA,TODAS,TODAS
6949,BOGOTA,OTRA,TODAS,TODAS
6950,CUNDINAMARCA,OTRA,TODAS,TODAS
6951,CARIBE,OTRA,TODAS,TODAS
6952,CENTRO SUR,OTRA,TODAS,TODAS
6953,EJE CAFETERO,OTRA,TODAS,TODAS
6954,OTRA,OTRA,TODAS,TODAS
6955,SANTANDERES Y ARAUCA,OTRA,TODAS,TODAS
6956,VALLE Y CAUCA,OTRA,TODAS,TODAS
9134,OTRA,ANTIOQUIA,TODAS,TODAS
9135,OTRA,ATLANTICO,TODAS,TODAS
9136,OTRA,BOGOTA,TODAS,TODAS
9137,OTRA,BOLIVAR,TODAS,TODAS
9138,OTRA,BOYACA,TODAS,TODAS
9139,OTRA,CALDAS,TODAS,TODAS
9140,OTRA,CAUCA,TODAS,TODAS
9141,OTRA,CESAR,TODAS,TODAS
9142,OTRA,CORDOBA,TODAS,TODAS
9143,OTRA,CUND/MARCA,TODAS,TODAS
9144,OTRA,HUILA,TODAS,TODAS
9145,OTRA,MAGDALENA,TODAS,TODAS
9146,OTRA,META,TODAS,TODAS
9147,OTRA,N SANT/DER,TODAS,TODAS
9148,OTRA,NARINO,TODAS,TODAS
9149,OTRA,QUINDIO,TODAS,TODAS
9150,OTRA,RISARALDA,TODAS,TODAS
9151,OTRA,SANTANDER,TODAS,TODAS
9152,OTRA,SUCRE,TODAS,TODAS
9153,OTRA,TOLIMA,TODAS,TODAS
9154,OTRA,VALLE,TODAS,TODAS
0,BOGOTA,BOGOTA,BOGOTA,TODAS
15,CUNDINAMARCA,CUNDINAMARCA,SOACHA,TODAS
23,CUNDINAMARCA,CUNDINAMARCA,CHIA,TODAS
53,CUNDINAMARCA,CUNDINAMARCA,ZIPAQUIRA,TODAS
77,VALLE Y CAUCA,VALLE,CALI,TODAS
81,VALLE Y CAUCA,CAUCA,SANTANDER DE QUILICHAO,TODAS
82,EJE CAFETERO,VALLE,ARGELIA,TODAS
84,VALLE Y CAUCA,VALLE,PALMIRA,TODAS
85,VALLE Y CAUCA,VALLE,GUADALAJARA DE BUGA,TODAS
86,VALLE Y CAUCA,VALLE,ROLDANILLO,TODAS
89,EJE CAFETERO,VALLE,ZARZAL,TODAS
90,VALLE Y CAUCA,VALLE,JAMUNDI,TODAS
91,VALLE Y CAUCA,VALLE,RESTREPO,TODAS
92,VALLE Y CAUCA,VALLE,OBANDO,TODAS
93,VALLE Y CAUCA,VALLE,EL DOVIO,TODAS
95,VALLE Y CAUCA,VALLE,VERSALLES,TODAS
120,VALLE Y CAUCA,VALLE,YUMBO,TODAS
125,CARIBE,ATLANTICO,SOLEDAD,TODAS
126,CARIBE,ATLANTICO,BARRANQUILLA,TODAS
153,ANTIOQUIA,ANTIOQUIA,MEDELLIN,TODAS
155,ANTIOQUIA,ANTIOQUIA,PUERTO BERRIO,TODAS
156,ANTIOQUIA,ANTIOQUIA,LA CEJA,TODAS
161,ANTIOQUIA,ANTIOQUIA,ENVIGADO,TODAS
163,ANTIOQUIA,ANTIOQUIA,ITAGUI,TODAS
177,ANTIOQUIA,ANTIOQUIA,BELLO,TODAS
185,ANTIOQUIA,ANTIOQUIA,SABANETA,TODAS
186,ANTIOQUIA,ANTIOQUIA,CALDAS,TODAS
188,ANTIOQUIA,ANTIOQUIA,COPACABANA,TODAS
195,SANTANDERES Y ARAUCA,SANTANDER,GIRON,TODAS
196,SANTANDERES Y ARAUCA,SANTANDER,BUCARAMANGA,TODAS
198,SANTANDERES Y ARAUCA,SANTANDER,FLORIDABLANCA,TODAS
210,SANTANDERES Y ARAUCA,SANTANDER,SAN GIL,TODAS
211,SANTANDERES Y ARAUCA,SANTANDER,SOCORRO,TODAS
212,SANTANDERES Y ARAUCA,SANTANDER,SAN VICENTE DE CHUCURI,TODAS
214,SANTANDERES Y ARAUCA,SANTANDER,PIEDECUESTA,TODAS
216,SANTANDERES Y ARAUCA,SANTANDER,RIONEGRO,TODAS
217,SANTANDERES Y ARAUCA,SANTANDER,BARBOSA,TODAS
219,SANTANDERES Y ARAUCA,SANTANDER,CHARALA,TODAS
220,SANTANDERES Y ARAUCA,SANTANDER,SUAITA,TODAS
221,SANTANDERES Y ARAUCA,SANTANDER,OIBA,TODAS
222,CARIBE,BOLIVAR,CARTAGENA,TODAS
228,CARIBE,BOLIVAR,TURBACO,TODAS
240,CARIBE,BOLIVAR,EL CARMEN DE BOLIVAR,TODAS
241,CARIBE,BOLIVAR,MAGANGUE,TODAS
242,SANTANDERES Y ARAUCA,NORTE DE SANTANDER,CUCUTA,TODAS
248,CARIBE,CESAR,AGUACHICA,TODAS
249,CARIBE,CESAR,GAMARRA,TODAS
252,SANTANDERES Y ARAUCA,NORTE DE SANTANDER,PAMPLONA,TODAS
253,CARIBE,CESAR,VALLEDUPAR,TODAS
254,CENTRO SUR,HUILA,NEIVA,TODAS
258,CENTRO SUR,HUILA,PITALITO,TODAS
259,CENTRO SUR,HUILA,PALERMO,TODAS
261,CENTRO SUR,HUILA,LA PLATA,TODAS
262,CENTRO SUR,HUILA,GARZON,TODAS
265,CENTRO SUR,CAQUETA,FLORENCIA,TODAS
266,EJE CAFETERO,CALDAS,MANIZALES,TODAS
268,EJE CAFETERO,CALDAS,RIOSUCIO,TODAS
270,EJE CAFETERO,CALDAS,ANSERMA,TODAS
272,EJE CAFETERO,CALDAS,CHINCHINA,TODAS
273,EJE CAFETERO,CALDAS,SUPIA,TODAS
274,EJE CAFETERO,CALDAS,NEIRA,TODAS
275,EJE CAFETERO,CALDAS,SALAMINA,TODAS
276,CENTRO SUR,CALDAS,LA DORADA,TODAS
277,EJE CAFETERO,CALDAS,AGUADAS,TODAS
278,EJE CAFETERO,CALDAS,VILLAMARIA,TODAS
279,EJE CAFETERO,CALDAS,PACORA,TODAS
280,EJE CAFETERO,CALDAS,PENSILVANIA,TODAS
281,EJE CAFETERO,CALDAS,ARANZAZU,TODAS
283,EJE CAFETERO,CALDAS,MANZANARES,TODAS
284,EJE CAFETERO,CALDAS,FILADELFIA,TODAS
285,EJE CAFETERO,CALDAS,PALESTINA,TODAS
290,CENTRO SUR,META,GRANADA,TODAS
291,CENTRO SUR,CASANARE,AGUAZUL,TODAS
292,CENTRO SUR,META,PUERTO GAITAN,TODAS
293,CENTRO SUR,CASANARE,YOPAL,TODAS
294,CENTRO SUR,META,VILLAVICENCIO,TODAS
300,CENTRO SUR,META,ACACIAS,TODAS
303,CENTRO SUR,NARINO,SAN ANDRES DE TUMACO,TODAS
304,CENTRO SUR,NARINO,TUQUERRES,TODAS
305,CENTRO SUR,NARINO,PASTO,TODAS
308,CENTRO SUR,NARINO,LA UNION,TODAS
312,CARIBE,MAGDALENA,CIENAGA,TODAS
313,CARIBE,MAGDALENA,SANTA MARTA,TODAS
317,CARIBE,MAGDALENA,FUNDACION,TODAS
320,EJE CAFETERO,RISARALDA,PEREIRA,TODAS
323,EJE CAFETERO,RISARALDA,DOSQUEBRADAS,TODAS
330,EJE CAFETERO,RISARALDA,SANTA ROSA DE CABAL,TODAS
332,EJE CAFETERO,RISARALDA,SANTUARIO,TODAS
333,EJE CAFETERO,RISARALDA,BELEN DE UMBRIA,TODAS
335,EJE CAFETERO,RISARALDA,QUINCHIA,TODAS
336,EJE CAFETERO,RISARALDA,MARSELLA,TODAS
337,EJE CAFETERO,RISARALDA,LA VIRGINIA,TODAS
339,EJE CAFETERO,RISARALDA,APIA,TODAS
340,EJE CAFETERO,VALLE,CARTAGO,TODAS
341,EJE CAFETERO,VALLE,EL CAIRO,TODAS
342,EJE CAFETERO,QUINDIO,ARMENIA,TODAS
345,EJE CAFETERO,QUINDIO,CALARCA,TODAS
348,EJE CAFETERO,QUINDIO,QUIMBAYA,TODAS
349,EJE CAFETERO,QUINDIO,MONTENEGRO,TODAS
350,EJE CAFETERO,QUINDIO,GENOVA,TODAS
351,EJE CAFETERO,VALLE,CAICEDONIA,TODAS
353,EJE CAFETERO,QUINDIO,LA TEBAIDA,TODAS
354,SANTANDERES Y ARAUCA,SANTANDER,BARRANCABERMEJA,TODAS
356,CARIBE,CORDOBA,LORICA,TODAS
357,CARIBE,CORDOBA,MONTERIA,TODAS
361,CENTRO SUR,TOLIMA,MARIQUITA,TODAS
362,CENTRO SUR,BOYACA,PUERTO BOYACA,TODAS
363,CENTRO SUR,TOLIMA,IBAGUE,TODAS
365,CENTRO SUR,TOLIMA,ESPINAL,TODAS
369,CENTRO SUR,TOLIMA,LIBANO,TODAS
370,CENTRO SUR,TOLIMA,ORTEGA,TODAS
371,CENTRO SUR,TOLIMA,CHAPARRAL,TODAS
372,CENTRO SUR,TOLIMA,FRESNO,TODAS
375,CENTRO SUR,BOYACA,TUNJA,TODAS
378,CENTRO SUR,BOYACA,SOGAMOSO,TODAS
380,CENTRO SUR,BOYACA,MONIQUIRA,TODAS
381,CENTRO SUR,BOYACA,MIRAFLORES,TODAS
382,CENTRO SUR,CASANARE,TAURAMENA,TODAS
383,CENTRO SUR,BOYACA,SAMACA,TODAS
384,CENTRO SUR,BOYACA,NOBSA,TODAS
385,CENTRO SUR,BOYACA,VILLA DE LEYVA,TODAS
386,CENTRO SUR,BOYACA,DUITAMA,TODAS
388,VALLE Y CAUCA,CAUCA,POPAYAN,TODAS
391,CARIBE,SUCRE,SINCELEJO,TODAS
394,VALLE Y CAUCA,VALLE,BUENAVENTURA,TODAS
395,SANTANDERES Y ARAUCA,NORTE DE SANTANDER,OCANA,TODAS
396,CARIBE,LA GUAJIRA,RIOHACHA,TODAS
403,CARIBE,CESAR,AGUSTIN CODAZZI,TODAS
404,CARIBE,LA GUAJIRA,SAN JUAN DEL CESAR,TODAS
405,CARIBE,LA GUAJIRA,VILLANUEVA,TODAS
407,CENTRO SUR,SAN ANDRES ISLA,SAN ANDRES,TODAS
411,CENTRO SUR,NARINO,IPIALES,TODAS
412,CENTRO SUR,CUNDINAMARCA,GIRARDOT,TODAS
414,VALLE Y CAUCA,VALLE,TULUA,TODAS
416,CENTRO SUR,BOYACA,CHIQUINQUIRA,TODAS
419,ANTIOQUIA,ANTIOQUIA,CAUCASIA,TODAS
420,ANTIOQUIA,ANTIOQUIA,APARTADO,TODAS
422,ANTIOQUIA,ANTIOQUIA,RIONEGRO,TODAS
426,ANTIOQUIA,ANTIOQUIA,ANDES,TODAS
427,ANTIOQUIA,ANTIOQUIA,YARUMAL,TODAS
428,ANTIOQUIA,ANTIOQUIA,AMALFI,TODAS
430,ANTIOQUIA,ANTIOQUIA,CIUDAD BOLIVAR,TODAS
431,ANTIOQUIA,ANTIOQUIA,SONSON,TODAS
432,ANTIOQUIA,ANTIOQUIA,FREDONIA,TODAS
433,ANTIOQUIA,ANTIOQUIA,AMAGA,TODAS
434,ANTIOQUIA,ANTIOQUIA,SALGAR,TODAS
435,ANTIOQUIA,ANTIOQUIA,ABEJORRAL,TODAS
436,ANTIOQUIA,ANTIOQUIA,SANTA BARBARA,TODAS
438,ANTIOQUIA,ANTIOQUIA,EL SANTUARIO,TODAS
441,ANTIOQUIA,ANTIOQUIA,JARDIN,TODAS
442,ANTIOQUIA,ANTIOQUIA,VENECIA,TODAS
444,ANTIOQUIA,ANTIOQUIA,BETULIA,TODAS
445,ANTIOQUIA,ANTIOQUIA,JERICO,TODAS
447,ANTIOQUIA,ANTIOQUIA,TAMESIS,TODAS
450,CUNDINAMARCA,CUNDINAMARCA,FUSAGASUGA,TODAS
452,CENTRO SUR,BOYACA,PAIPA,TODAS
453,CENTRO SUR,TOLIMA,MELGAR,TODAS
455,CUNDINAMARCA,CUNDINAMARCA,FACATATIVA,TODAS
469,CUNDINAMARCA,CUNDINAMARCA,MADRID,TODAS
485,CUNDINAMARCA,CUNDINAMARCA,SUBACHOQUE,TODAS
486,CUNDINAMARCA,CUNDINAMARCA,FUNZA,TODAS
490,CUNDINAMARCA,CUNDINAMARCA,CAJICA,TODAS
491,CUNDINAMARCA,CUNDINAMARCA,LA CALERA,TODAS
492,CUNDINAMARCA,CUNDINAMARCA,COTA,TODAS
495,CUNDINAMARCA,CUNDINAMARCA,SOPO,TODAS
497,CUNDINAMARCA,CUNDINAMARCA,EL ROSAL,TODAS
499,CUNDINAMARCA,CUNDINAMARCA,PACHO,TODAS
501,CUNDINAMARCA,CUNDINAMARCA,TOCANCIPA,TODAS
502,CUNDINAMARCA,CUNDINAMARCA,SIBATE,TODAS
506,CUNDINAMARCA,CUNDINAMARCA,GUADUAS,TODAS
507,CUNDINAMARCA,CUNDINAMARCA,LA MESA,TODAS
508,CUNDINAMARCA,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,TODAS
510,CUNDINAMARCA,CUNDINAMARCA,TENJO,TODAS
511,CUNDINAMARCA,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,TODAS
512,CUNDINAMARCA,CUNDINAMARCA,ANAPOIMA,TODAS
513,CUNDINAMARCA,CUNDINAMARCA,CAQUEZA,TODAS
533,CUNDINAMARCA,CUNDINAMARCA,EL COLEGIO,TODAS
534,CUNDINAMARCA,CUNDINAMARCA,MOSQUERA,TODAS
542,CUNDINAMARCA,CUNDINAMARCA,VILLETA,TODAS
551,CUNDINAMARCA,CUNDINAMARCA,VIANI,TODAS
571,SANTANDERES Y ARAUCA,ARAUCA,ARAUCA,TODAS
572,SANTANDERES Y ARAUCA,ARAUCA,SARAVENA,TODAS
573,SANTANDERES Y ARAUCA,ARAUCA,TAME,TODAS
999,ANTIOQUIA,ANTIOQUIA,CONCORDIA,TODAS
6948,ANTIOQUIA,OTRA,OTRA,TODAS
6949,BOGOTA,OTRA,OTRA,TODAS
6950,CUNDINAMARCA,OTRA,OTRA,TODAS
6951,CARIBE,OTRA,OTRA,TODAS
6952,CENTRO SUR,OTRA,OTRA,TODAS
6953,EJE CAFETERO,OTRA,OTRA,TODAS
6954,OTRA,OTRA,OTRA,TODAS
6955,SANTANDERES Y ARAUCA,OTRA,OTRA,TODAS
6956,VALLE Y CAUCA,OTRA,OTRA,TODAS
9134,OTRA,ANTIOQUIA,OTRA,TODAS
9135,OTRA,ATLANTICO,OTRA,TODAS
9136,OTRA,BOGOTA,OTRA,TODAS
9137,OTRA,BOLIVAR,OTRA,TODAS
9138,OTRA,BOYACA,OTRA,TODAS
9139,OTRA,CALDAS,OTRA,TODAS
9140,OTRA,CAUCA,OTRA,TODAS
9141,OTRA,CESAR,OTRA,TODAS
9142,OTRA,CORDOBA,OTRA,TODAS
9143,OTRA,CUND/MARCA,OTRA,TODAS
9144,OTRA,HUILA,OTRA,TODAS
9145,OTRA,MAGDALENA,OTRA,TODAS
9146,OTRA,META,OTRA,TODAS
9147,OTRA,N SANT/DER,OTRA,TODAS
9148,OTRA,NARINO,OTRA,TODAS
9149,OTRA,QUINDIO,OTRA,TODAS
9150,OTRA,RISARALDA,OTRA,TODAS
9151,OTRA,SANTANDER,OTRA,TODAS
9152,OTRA,SUCRE,OTRA,TODAS
9153,OTRA,TOLIMA,OTRA,TODAS
9154,OTRA,VALLE,OTRA,TODAS
0,BOGOTA,BOGOTA,BOGOTA,SAN NICOLAS
1,BOGOTA,BOGOTA,BOGOTA,TIMIZA
2,BOGOTA,BOGOTA,BOGOTA,SAN LUIS
3,BOGOTA,BOGOTA,BOGOTA,ORQUIDEAS
4,BOGOTA,BOGOTA,BOGOTA,GAITAN
5,BOGOTA,BOGOTA,BOGOTA,SANTA ISABEL
6,BOGOTA,BOGOTA,BOGOTA,TELEPORT BUSINESS
7,BOGOTA,BOGOTA,BOGOTA,CORABASTOS
8,BOGOTA,BOGOTA,BOGOTA,VILLA DEL PRADO
9,BOGOTA,BOGOTA,BOGOTA,PALOQUEMAO
10,BOGOTA,BOGOTA,BOGOTA,CAN
11,BOGOTA,BOGOTA,BOGOTA,ESTRADA
12,BOGOTA,BOGOTA,BOGOTA,CIUDADELA COLSUBSIDIO
13,BOGOTA,BOGOTA,BOGOTA,SALITRE PLAZA
14,BOGOTA,BOGOTA,BOGOTA,CIUDAD JARDIN SUR
15,CUNDINAMARCA,CUNDINAMARCA,SOACHA,UNISUR
16,BOGOTA,BOGOTA,BOGOTA,CENCOSUD METRO ALQUERIA
17,BOGOTA,BOGOTA,BOGOTA,ALHAMBRA
18,BOGOTA,BOGOTA,BOGOTA,SAN PATRICIO
19,BOGOTA,BOGOTA,BOGOTA,ESPECTADOR
20,BOGOTA,BOGOTA,BOGOTA,PASEO SAN RAFAEL
21,BOGOTA,BOGOTA,BOGOTA,CASTILLA
22,BOGOTA,BOGOTA,BOGOTA,MINUTO DE DIOS
23,CUNDINAMARCA,CUNDINAMARCA,CHIA,CHIA
24,BOGOTA,BOGOTA,BOGOTA,NORMANDIA
25,BOGOTA,BOGOTA,BOGOTA,EL RETIRO
26,BOGOTA,BOGOTA,BOGOTA,ALMIRANTE
